Indicator Code,Indicator Name
SGDMKHLTHWHZS,Decision maker about a woman's own health care: wife and husband jointly (% of women age 15-49)
SGDMKVISIHBZS,Decision maker about a woman's visits to her family or relatives: mainly husband (% of women age 15-49)
SGDMKVISIWFZS,Decision maker about a woman's visits to her family or relatives: mainly wife (% of women age 15-49)
SGDMKVISIOTZS,Decision maker about a woman's visits to her family or relatives: other (% of women age 15-49)
SGDMKVISISEZS,Decision maker about a woman's visits to her family or relatives: someone else (% of women age 15-49)
SGDMKPRCHHBZS,Decision maker about major household purchases: mainly husband (% of women age 15-49)
SGDMKPRCHWFZS,Decision maker about major household purchases: mainly wife (% of women age 15-49)
SGDMKPRCHOTZS,Decision maker about major household purchases: other (% of women age 15-49)
SGDMKPRCHSEZS,Decision maker about major household purchases: someone else (% of women age 15-49)
SGDMKPRCHWHZS,Decision maker about major household purchases: wife and husband jointly (% of women age 15-49)
SGDMKVISIWHZS,Decision maker about Visits to her family or relatives: wife and husband jointly (% of women age 15-49)
SHFPLSATIZS,Demand for family planning satisfied by any methods (% of married women with demand for family planning)
SHFPLSATMZS,Demand for family planning satisfied by modern methods (% of married women with demand for family planning)
SGDMLPRGW,Dismissal of pregnant workers is prohibited (1=yes; 0=no)
SETERCUATBAFEZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)"
SETERCUATBAMAZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)"
SETERCUATBAZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)"
SESECCUATLOFEZS,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)"
SESECCUATLOMAZS,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)"
SESECCUATLOZS,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)"
SESECCUATPOFEZS,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)"
SESECCUATPOMAZS,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)"
SESECCUATPOZS,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)"
SEPRMCUATFEZS,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)"
SEPRMCUATMAZS,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)"
SEPRMCUATZS,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)"
SETERCUATSTFEZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)"
SETERCUATSTMAZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)"
SETERCUATSTZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)"
SESECCUATUPFEZS,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)"
SESECCUATUPMAZS,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)"
SESECCUATUPZS,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)"
SETERCUATMSFEZS,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)"
SETERCUATMSMAZS,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)"
SETERCUATMSZS,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)"
SETERCUATDOFEZS,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)"
SETERCUATDOMAZS,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)"
SETERCUATDOZS,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)"
SLEMPMPYRFEZS,"Employers, female (% of female employment) (modeled ILO estimate)"
SLEMPMPYRMAZS,"Employers, male (% of male employment) (modeled ILO estimate)"
SLEMPMPYRZS,"Employers, total (% of total employment) (modeled ILO estimate)"
SLAGREMPLZS,Employment in agriculture (% of total employment) (modeled ILO estimate)
SLAGREMPLFEZS,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)"
SLAGREMPLMAZS,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)"
SLINDEMPLZS,Employment in industry (% of total employment) (modeled ILO estimate)
SLINDEMPLFEZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)"
SLINDEMPLMAZS,"Employment in industry, male (% of male employment) (modeled ILO estimate)"
SLSRVEMPLZS,Employment in services (% of total employment) (modeled ILO estimate)
SLSRVEMPLFEZS,"Employment in services, female (% of female employment) (modeled ILO estimate)"
SLSRVEMPLMAZS,"Employment in services, male (% of male employment) (modeled ILO estimate)"
SLEMPTOTLSPFEZS,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)"
SLEMPTOTLSPFENEZS,"Employment to population ratio, 15+, female (%) (national estimate)"
SLEMPTOTLSPMAZS,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)"
SLEMPTOTLSPMANEZS,"Employment to population ratio, 15+, male (%) (national estimate)"
SLEMPTOTLSPZS,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)"
SLEMPTOTLSPNEZS,"Employment to population ratio, 15+, total (%) (national estimate)"
SLEMP1524SPFEZS,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)"
SLEMP1524SPFENEZS,"Employment to population ratio, ages 15-24, female (%) (national estimate)"
SLEMP1524SPMAZS,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)"
SLEMP1524SPMANEZS,"Employment to population ratio, ages 15-24, male (%) (national estimate)"
SLEMP1524SPZS,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)"
SLEMP1524SPNEZS,"Employment to population ratio, ages 15-24, total (%) (national estimate)"
HDHCIEYRS,Expected Years of School
HDHCIEYRSFE,"Expected Years of School, Female"
HDHCIEYRSMA,"Expected Years of School, Male"
SESCHLIFE,Expected years of schooling
SESCHLIFEFE,"Expected years of schooling, female"
SESCHLIFEMA,"Expected years of schooling, male"
SGIHTASSTEQ,Female and male surviving spouses have equal rights to inherit assets (1=yes; 0=no)
SHSTAFGMSZS,Female genital mutilation prevalence (%)
SHSTAFGMSQ1ZS,Female genital mutilation prevalence (%): Q1 (lowest)
SHSTAFGMSQ2ZS,Female genital mutilation prevalence (%): Q2
SHSTAFGMSQ3ZS,Female genital mutilation prevalence (%): Q3
SHSTAFGMSQ4ZS,Female genital mutilation prevalence (%): Q4
SHSTAFGMSQ5ZS,Female genital mutilation prevalence (%): Q5 (highest)
SPHOUFEMAZS,Female headed households (% of households with a female head)
SGPOPMIGRFEZS,Female migrants (% of international migrant stock)
SELPVPRIMOOSFE,Female primary school age children out-of-school (%)
SGGENTECHZS,Female professional and technical workers (% of total)
SELPVPRIMBMPFE,Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold
SLEMPSMGTFEZS,Female share of employment in senior and middle management (%)
SETERGRADFESIZS,"Female share of graduates from Science, Technology, Engineering and Mathematics (STEM) programmes, tertiary (%)"
SETERGRADFEAGZS,"Female share of graduates in Agriculture, Forestry, Fisheries and Veterinary programmes, tertiary (%)"
SETERGRADFEHUZS,"Female share of graduates in Arts and Humanities programmes, tertiary (%)"
UISFGP5T8F400,"Female share of graduates in Business, Administration and Law programmes, tertiary (%)"
SETERGRADFEEDZS,"Female share of graduates in Education programmes, tertiary (%)"
SETERGRADFEENZS,"Female share of graduates in Engineering, Manufacturing and Construction programmes, tertiary (%)"
SETERGRADFEHLZS,"Female share of graduates in Health and Welfare programmes, tertiary (%)"
UISFGP5T8F600,"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)"
SETERGRADFESCZS,"Female share of graduates in Natural Sciences, Mathematics and Statistics programmes, tertiary (%)"
UISFGP5T8FNON500600700,"Female share of graduates in other fields than Science, Technology, Engineering and Mathematics programmes, tertiary (%)"
SETERGRADFESVZS,"Female share of graduates in Services programmes, tertiary (%)"
SETERGRADFESSZS,"Female share of graduates in Social Sciences, Journalism and Information programmes, tertiary (%)"
SETERGRADFEOTZS,"Female share of graduates in unknown or unspecified fields, tertiary (%)"
fin1ta,Financial institution account (% age 15+)
fin1ta2,"Financial institution account,female(% age 15+)"
fin1ta1,"Financial institution account,male(% age 15+)"
ICFRMFEMOZS,Firms with female participation in ownership (% of firms)
ICFRMFEMMZS,Firms with female top manager (% of firms)
HDHCISTNT,Fraction of Children Under 5 Not Stunted
HDHCISTNTFE,"Fraction of Children Under 5 Not Stunted, Female"
HDHCISTNTMA,"Fraction of Children Under 5 Not Stunted, Male"
NYGDPMKTPCD,GDP (current US$)
NYGDPMKTPKDZG,GDP growth (annual %)
NYGDPPCAPKD,GDP per capita (constant 2010 US$)
NYGDPPCAPCD,GDP per capita (Current US$)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPPCAPCD,"GNI per capita, Atlas method (current US$)"
NYGNPPCAPPPCD,"GNI per capita, PPP (current international $)"
NYGNPATLSCD,"GNI, Atlas method (current US$)"
SEXPDTOTLGDZS,"Government expenditure on education, total (% of GDP)"
SEXPDPRIMPCZS,"Government expenditure per student, primary (% of GDP per capita)"
SEXPDSECOPCZS,"Government expenditure per student, secondary (% of GDP per capita)"
SEPRMCMPLFEZS,"Gross graduation ratio, primary, female (%)"
SEPRMCMPLMAZS,"Gross graduation ratio, primary, male (%)"
SEPRMCMPLZS,"Gross graduation ratio, primary, total (%)"
SETERCMPLFEZS,"Gross graduation ratio, tertiary, female (%)"
SETERCMPLMAZS,"Gross graduation ratio, tertiary, male (%)"
SETERCMPLZS,"Gross graduation ratio, tertiary, total (%)"
SEPRMGINTZS,"Gross intake ratio in first grade of primary education, total (% of relevant age group)"
HDHCIHLOS,Harmonized Test Scores
HDHCIHLOSFE,"Harmonized Test Scores, Female"
HDHCIHLOSMA,"Harmonized Test Scores, Male"
SGH2OTM30HHZS,Households with water 30 minutes or longer away round trip (%)
SGH2OTL30HHZS,Households with water less than 30 minutes away round trip (%)
SGH2OPRMSHHZS,Households with water on the premises (%)
HDHCIOVRL,Human Capital Index (HCI) (scale 0-1)
HDHCIOVRLFE,"Human Capital Index (HCI), Female (scale 0-1)"
HDHCIOVRLLBFE,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)"
HDHCIOVRLUBFE,"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)"
HDHCIOVRLLB,"Human Capital Index (HCI), Lower Bound (scale 0-1)"
HDHCIOVRLMA,"Human Capital Index (HCI), Male (scale 0-1)"
HDHCIOVRLLBMA,"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)"
HDHCIOVRLUBMA,"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)"
HDHCIOVRLUB,"Human Capital Index (HCI), Upper Bound (scale 0-1)"
SHIMMIDPT,"Immunization, DPT (% of children ages 12-23 months)"
SHIMMMEAS,"Immunization, measles (% of children ages 12-23 months)"
SHHIVINCDYGP3,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)"
SHHIVINCDYGFEP3,"Incidence of HIV, ages 15-24, female (per 1,000 uninfected female population ages 15-24)"
SHHIVINCDYGMAP3,"Incidence of HIV, ages 15-24, male (per 1,000 uninfected male population ages 15-24)"
SHHIVINCDZS,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)"
SHHIVINCDFEP3,"Incidence of HIV, ages 15-49, female (per 1,000 uninfected female population ages 15-49)"
SHHIVINCDMAP3,"Incidence of HIV, ages 15-49, male (per 1,000 uninfected male population ages 15-49)"
FPCPITOTLZG,"Inflation, consumer prices (annual %)"
SLISVIFRMFEZS,"Informal employment, female (% of total non-agricultural employment)"
SLISVIFRMMAZS,"Informal employment, male (% of total non-agricultural employment)"
VCIHRPSRCP5,"Intentional homicides (per 100,000 people)"
VCIHRPSRCFEP5,"Intentional homicides, female (per 100,000 female)"
VCIHRPSRCMAP5,"Intentional homicides, male (per 100,000 male)"
SLTLFACTI1524FEZS,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)"
SLTLFACTI1524FENEZS,"Labor force participation rate for ages 15-24, female (%) (national estimate)"
SLTLFACTI1524MAZS,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)"
SLTLFACTI1524MANEZS,"Labor force participation rate for ages 15-24, male (%) (national estimate)"
SLTLFACTI1524ZS,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)"
SLTLFACTI1524NEZS,"Labor force participation rate for ages 15-24, total (%) (national estimate)"
SLTLFCACTFEZS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)"
SLTLFCACTFENEZS,"Labor force participation rate, female (% of female population ages 15+) (national estimate)"
SLTLFACTIFEZS,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)"
SLTLFCACTMAZS,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)"
SLTLFCACTMANEZS,"Labor force participation rate, male (% of male population ages 15+) (national estimate)"
SLTLFACTIMAZS,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)"
SLTLFCACTZS,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)"
SLTLFCACTNEZS,"Labor force participation rate, total (% of total population ages 15+) (national estimate)"
SLTLFACTIZS,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)"
SLTLFADVNZS,Labor force with advanced education (% of total working-age population with advanced education)
SLTLFADVNFEZS,"Labor force with advanced education, female (% of female working-age population with advanced education)"
SLTLFADVNMAZS,"Labor force with advanced education, male (% of male working-age population with advanced education)"
SLTLFBASCZS,Labor force with basic education (% of total working-age population with basic education)
SLTLFBASCFEZS,"Labor force with basic education, female (% of female working-age population with basic education)"
SLTLFBASCMAZS,"Labor force with basic education, male (% of male working-age population with basic education)"
SLTLFINTMZS,Labor force with intermediate education (% of total working-age population with intermediate education)
SLTLFINTMFEZS,"Labor force with intermediate education, female (% of female working-age population with intermediate education)"
SLTLFINTMMAZS,"Labor force with intermediate education, male (% of male working-age population with intermediate education)"
SLTLFTOTLFEIN,"Labor force, female"
SLTLFTOTLFEZS,"Labor force, female (% of total labor force)"
SLTLFTOTLMAIN,"Labor force, male"
SLTLFTOTLIN,"Labor force, total"
SGLAWEQRMWK,Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no)
SGLAWNODCHR,Law prohibits discrimination in employment based on gender (1=yes; 0=no)
SELPVPRIM,Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)
SELPVPRIMFE,Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)
SELPVPRIMMA,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)
HDHCILAYS,Learning-Adjusted Years of School
HDHCILAYSFE,"Learning-Adjusted Years of School, Female"
HDHCILAYSMA,"Learning-Adjusted Years of School, Male"
SHMMRLEVE,Length of paid maternity leave (calendar days)
SHPARLEVEMA,Length of paid parental leave for father (calendar days)
SHPARLEVEFE,Length of paid parental leave for mother (calendar days)
SHPTRLEVE,Length of paid paternity leave (calendar days)
SHPARLEVE,Length of paid shared parental leave (calendar days)
SPDYNLE60FEIN,"Life expectancy at age 60, female (years)"
SPDYNLE60MAIN,"Life expectancy at age 60, male (years)"
SEADTLITRFEZS,"Literacy rate, adult female (% of females ages 15 and above)"
SEADTLITRMAZS,"Literacy rate, adult male (% of males ages 15 and above)"
SEADTLITRZS,"Literacy rate, adult total (% of people ages 15 and above)"
SEADT1524LTFMZS,"Literacy rate, youth (ages 15-24), gender parity index (GPI)"
SEADT1524LTFEZS,"Literacy rate, youth female (% of females ages 15-24)"
SEADT1524LTMAZS,"Literacy rate, youth male (% of males ages 15-24)"
SEADT1524LTZS,"Literacy rate, youth total (% of people ages 15-24)"
SGCOKHOUSZS,Location of cooking: inside the house (% of households)
SGCOKOTHRZS,Location of cooking: other places (% of households)
SGCOKOUTDZS,Location of cooking: outdoors (% of households)
SGCOKSBLDZS,Location of cooking: separate building (% of households)
SESECCMPTLOFEZS,"Lower secondary completion rate, female (% of relevant age group)"
SESECCMPTLOMAZS,"Lower secondary completion rate, male (% of relevant age group)"
SESECCMPTLOZS,"Lower secondary completion rate, total (% of relevant age group)"
g20tmade,Made digital payments in the past year (% age 15+)
g20tmade2,"Made digital payments in the past year, female  (% age 15+)"
g20tmade1,"Made digital payments in the past year, male  (% age 15+)"
g20t,Made or received digital payments in the past year (% age 15+)
g20t2,"Made or received digital payments in the past year, female  (% age 15+)"
g20t1,"Made or received digital payments in the past year, male  (% age 15+)"
SGCOKCROPZS,Main cooking fuel: agricultural crop (% of households)
SGCOKCHCOZS,Main cooking fuel: charcoal (% of households)
SGCOKDUNGZS,Main cooking fuel: dung (% of households)
SGCOKELECZS,Main cooking fuel: electricity  (% of households)
SGCOKLPGNZS,Main cooking fuel: LPG/natural gas/biogas (% of households)
SGCOKSTRWZS,Main cooking fuel: straw/shrubs/grass (% of households)
SGCOKWOODZS,Main cooking fuel: wood (% of households)
fin25btas,"Main source of emergency funds: family or friends (% able to raise funds, age 15+)"
fin25btas2,"Main source of emergency funds: family or friends, female  (% able to raise funds, age 15+)"
fin25btas1,"Main source of emergency funds: family or friends, male  (% able to raise funds, age 15+)"
fin25das,"Main source of emergency funds: loan from a bank, employer, or private lender (% able to raise funds, age 15+)"
fin25das2,"Main source of emergency funds: loan from a bank, employer, or private lender, female (% able to raise funds, age 15+)"
fin25das1,"Main source of emergency funds: loan from a bank, employer, or private lender, male  (% able to raise funds, age 15+)"
fin25cas,"Main source of emergency funds: money from working (% able to raise funds, age 15+)"
fin25cas2,"Main source of emergency funds: money from working, female (% able to raise funds, age 15+)"
fin25cas1,"Main source of emergency funds: money from working, male  (% able to raise funds, age 15+)"
fin25fas,"Main source of emergency funds: other (% able to raise funds, age 15+)"
fin25fas2,"Main source of emergency funds: other, female (% able to raise funds, age 15+)"
fin25fas1,"Main source of emergency funds: other, male (% able to raise funds, age 15+)"
fin25eas,"Main source of emergency funds: sale of assets (% able to raise funds, age 15+)"
fin25eas1,"Main source of emergency funds: sale of assets , male (% able to raise funds, age 15+)"
fin25eas2,"Main source of emergency funds: sale of assets, female  (% able to raise funds, age 15+)"
fin25atas,"Main source of emergency funds: savings (% able to raise funds, age 15+)"
fin25atas2,"Main source of emergency funds: savings, female (% able to raise funds, age 15+)"
fin25atas1,"Main source of emergency funds: savings, male  (% able to raise funds, age 15+)"
SELPVPRIMOOSMA,Male primary school age children out-of-school (%)
SELPVPRIMBMPMA,Male pupils below minimum reading proficiency at end of primary (%). Low GAML threshold
SGAGERTREFE,"Mandatory retirement age, female"
SGAGERTREMA,"Mandatory retirement age, male"
SHSTAMMRT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)"
SGOWNPRRTIM,Men and married women have equal ownership rights to immovable property (1=yes; 0=no)
SGOWNHSNOMAZS,Men who do not own a house (% of men)
SGOWNHSNOMAQ1ZS,Men who do not own a house (% of men): Q1 (lowest)
SGOWNHSNOMAQ2ZS,Men who do not own a house (% of men): Q2
SGOWNHSNOMAQ3ZS,Men who do not own a house (% of men): Q3
SGOWNHSNOMAQ4ZS,Men who do not own a house (% of men): Q4
SGOWNHSNOMAQ5ZS,Men who do not own a house (% of men): Q5 (highest)
SGOWNLDNOMAZS,Men who do not own land (% of men)
SGOWNLDNOMAQ1ZS,Men who do not own land (% of men): Q1 (lowest)
SGOWNLDNOMAQ2ZS,Men who do not own land (% of men): Q2
SGOWNLDNOMAQ3ZS,Men who do not own land (% of men): Q3
SGOWNLDNOMAQ4ZS,Men who do not own land (% of men): Q4
SGOWNLDNOMAQ5ZS,Men who do not own land (% of men): Q5 (highest)
SGOWNHSALMAZS,Men who own a house alone (% of men)
SGOWNHSALMAQ1ZS,Men who own a house alone (% of men): Q1 (lowest)
SGOWNHSALMAQ2ZS,Men who own a house alone (% of men): Q2
SGOWNHSALMAQ3ZS,Men who own a house alone (% of men): Q3
SGOWNHSALMAQ4ZS,Men who own a house alone (% of men): Q4
SGOWNHSALMAQ5ZS,Men who own a house alone (% of men): Q5 (highest)
SGOWNHSAJMAZS,Men who own a house both alone and jointly (% of men)
SGOWNHSAJMAQ1ZS,Men who own a house both alone and jointly (% of men): Q1 (lowest)
SGOWNHSAJMAQ2ZS,Men who own a house both alone and jointly (% of men): Q2
SGOWNHSAJMAQ3ZS,Men who own a house both alone and jointly (% of men): Q3
SGOWNHSAJMAQ4ZS,Men who own a house both alone and jointly (% of men): Q4
SGOWNHSAJMAQ5ZS,Men who own a house both alone and jointly (% of men): Q5 (highest)
SGOWNHSJTMAZS,Men who own a house jointly (% of men)
SGOWNHSJTMAQ1ZS,Men who own a house jointly (% of men): Q1 (lowest)
SGOWNHSJTMAQ2ZS,Men who own a house jointly (% of men): Q2
SGOWNHSJTMAQ3ZS,Men who own a house jointly (% of men): Q3
SGOWNHSJTMAQ4ZS,Men who own a house jointly (% of men): Q4
SGOWNHSJTMAQ5ZS,Men who own a house jointly (% of men): Q5 (highest)
SGOWNLDALMAZS,Men who own land alone (% of men)
SGOWNLDALMAQ1ZS,Men who own land alone (% of men): Q1 (lowest)
SGOWNLDALMAQ2ZS,Men who own land alone (% of men): Q2
SGOWNLDALMAQ3ZS,Men who own land alone (% of men): Q3
SGOWNLDALMAQ4ZS,Men who own land alone (% of men): Q4
SGOWNLDALMAQ5ZS,Men who own land alone (% of men): Q5 (highest)
SGOWNLDAJMAZS,Men who own land both alone and jointly (% of men)
SGOWNLDAJMAQ1ZS,Men who own land both alone and jointly (% of men): Q1 (lowest)
SGOWNLDAJMAQ2ZS,Men who own land both alone and jointly (% of men): Q2
SGOWNLDAJMAQ3ZS,Men who own land both alone and jointly (% of men): Q3
SGOWNLDAJMAQ4ZS,Men who own land both alone and jointly (% of men): Q4
SGOWNLDAJMAQ5ZS,Men who own land both alone and jointly (% of men): Q5 (highest)
SGOWNLDJTMAZS,Men who own land jointly (% of men)
SGOWNLDJTMAQ1ZS,Men who own land jointly (% of men): Q1 (lowest)
SGOWNLDJTMAQ2ZS,Men who own land jointly (% of men): Q2
SGOWNLDJTMAQ3ZS,Men who own land jointly (% of men): Q3
SGOWNLDJTMAQ4ZS,Men who own land jointly (% of men): Q4
SGOWNLDJTMAQ5ZS,Men who own land jointly (% of men): Q5 (highest)
SGREGNLIDMAZS,Men with a national identity card or equivalent foundational identity document (% of men ages 15+)
mobileaccounttd,Mobile money account (% age 15+)
mobileaccounttd2,"Mobile money account, female (% age 15+)"
mobileaccounttd1,"Mobile money account, male  (% age 15+)"
SHSTATRAFP5,"Mortality caused by road traffic injury (per 100,000 population)"
SHSTATRAFFEP5,"Mortality caused by road traffic injury, female (per 100,000 female population)"
SHSTATRAFMAP5,"Mortality caused by road traffic injury, male (per 100,000 male population)"
SHDYNNCOMZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)"
SHDYNNCOMFEZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)"
SHDYNNCOMMAZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)"
SHSTAAIRPP5,"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)"
SHSTAAIRPFEP5,"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)"
SHSTAAIRPMAP5,"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)"
SHSTAPOISP5,"Mortality rate attributed to unintentional poisoning (per 100,000 population)"
SHSTAPOISP5FE,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)"
SHSTAPOISP5MA,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)"
SHSTAWASHP5,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)"
SHSTAWASHFEP5,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene, female (per 100,000 female population)"
SHSTAWASHMAP5,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene, male (per 100,000 male population)"
SEPRMNINTZS,Net intake rate in grade 1 (% of official school-age population)
SEPRMNINTFEZS,"Net intake rate in grade 1, female (% of official school-age population)"
SEPRMNINTMAZS,"Net intake rate in grade 1, male (% of official school-age population)"
fin9td1,No deposit and no withdrawal from an account in the past year (% age 15+)
fin9td12,"No deposit and no withdrawal from an account in the past year, female (% age 15+)"
fin9td11,"No deposit and no withdrawal from an account in the past year, male  (% age 15+)"
ICWEFLLCOFE,Number of female business owners
ICWEFLLCDFE,Number of female directors
ICWEFSOLOFE,Number of female sole proprietors
ICWEFLLCOMA,Number of male business owners
ICWEFLLCDMA,Number of male directors
ICWEFSOLOMA,Number of male sole proprietors
SHMMRDTHS,Number of maternal deaths
fin19ta,Outstanding housing loan (% age 15+)
fin19ta2,"Outstanding housing loan, female (% age 15+)"
fin19ta1,"Outstanding housing loan, male  (% age 15+)"
fin65e11a,Outstanding loan for a funeral or wedding (% age 15+)
fin65e11a2,"Outstanding loan for a funeral or wedding, female (% age 15+)"
fin65e11a1,"Outstanding loan for a funeral or wedding, male (% age 15+)"
SHPTRLEVEAL,Paid leave is available to fathers (1=yes; 0=no)
SHMMRLEVEAL,Paid leave of at least 14 weeks available to mothers (1=yes; 0=no)
fin3314a,Paid school fees in the past year (% age 15+)
fin3314a2,"Paid school fees in the past year, female  (% age 15+)"
fin3314a1,"Paid school fees in the past year, male (% age 15+)"
fin30ta,Paid utility bills in the past year (% age 15+)
fin30ta2,"Paid utility bills in the past year, female (% age 15+)"
fin30ta1,"Paid utility bills in the past year, male (% age 15+)"
SLTLFPARTTLFEZS,"Part time employment, female (% of total part time employment)"
SLTLFPARTMAZS,"Part time employment, male (% of total male employment)"
SLTLFPARTZS,"Part time employment, total (% of total employment)"
SHSTAODFCZS,People practicing open defecation (% of population)
SHSTAODFCRUZS,"People practicing open defecation, rural (% of rural population)"
SHSTAODFCURZS,"People practicing open defecation, urban (% of urban population)"
UISFEP2V,Percentage of students in lower secondary vocational education who are female (%)
UISFEP4V,Percentage of students in post-secondary non-tertiary vocational education who are female (%)
UISFEP3V,Percentage of students in upper secondary vocational education who are female (%)
SEPRMPRS5FEZS,"Persistence to grade 5, female (% of cohort)"
SEPRMPRS5MAZS,"Persistence to grade 5, male (% of cohort)"
SIPOVDDAY,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)
SIPOVNAHC,Poverty headcount ratio at national poverty lines (% of population)
SHSTAANVCZS,Pregnant women receiving prenatal care (%)
SHANMALLWZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49)
SHPRVSMOK,Prevalence of current tobacco use (% of adults)
SHPRVSMOKFE,"Prevalence of current tobacco use, females (% of female adults)"
SHPRVSMOKMA,"Prevalence of current tobacco use, males (% of male adults)"
SHHIV1524FEZS,"Prevalence of HIV, female (% ages 15-24)"
SHHIV1524MAZS,"Prevalence of HIV, male (% ages 15-24)"
SHSTAOB18FEZS,"Prevalence of obesity, female (% of female population ages 18+)"
SHSTAOB18MAZS,"Prevalence of obesity, male (% of male population ages 18+)"
SHSTAOWADZS,Prevalence of overweight (% of adults)
SHSTAOWADFEZS,"Prevalence of overweight, female (% of female adults)"
SHSTAOWADMAZS,"Prevalence of overweight, male (% of male adults)"
SHSTAOWGHZS,"Prevalence of overweight, weight for height (% of children under 5)"
SHSTAOWGHFEZS,"Prevalence of overweight, weight for height, female (% of children under 5)"
SHSTAOWGHMAZS,"Prevalence of overweight, weight for height, male (% of children under 5)"
SHSVRWASTZS,"Prevalence of severe wasting, weight for height (% of children under 5)"
SHSVRWASTFEZS,"Prevalence of severe wasting, weight for height, female (% of children under 5)"
SHSVRWASTMAZS,"Prevalence of severe wasting, weight for height, male (% of children under 5)"
SHSTASTNTZS,"Prevalence of stunting, height for age (% of children under 5)"
SHSTASTNTFEZS,"Prevalence of stunting, height for age, female (% of children under 5)"
